ts,voltage,capacity
1575621767.013421,3.47125,0.1875
1575621777.0247474,3.4725,0.203125
1575621787.0361521,3.47375,0.21875
1575621797.0475333,3.475,0.23828125
1575621807.0589693,3.475,0.25390625
1575621817.0703733,3.47625,0.26953125
1575621827.0797029,3.4775,0.26953125
1575621837.0910435,3.4775,0.28515625
1575621847.093717,3.4775,0.3046875
1575621857.1037195,3.47875,0.3203125
1575621867.1151161,3.47875,0.3359375
1575621877.1265097,3.48,0.3515625
1575621887.1378996,3.48,0.3515625
1575621897.1401858,3.48125,0.37109375
1575621907.143715,3.48125,0.38671875
1575621917.1551256,3.48125,0.40234375
1575621927.1665301,3.4825,0.40234375
1575621937.1737056,3.4825,0.41796875
1575621947.1851,3.4825,0.4375
1575621957.1964931,3.4825,0.4375
1575621967.2078927,3.48375,0.453125
1575621977.219328,3.48375,0.46875
1575621987.2307193,3.48375,0.46875
1575621997.2421136,3.485,0.484375
1575622007.2535145,3.485,0.50390625
1575622017.2637174,3.485,0.50390625
1575622027.27512,3.485,0.51953125
1575622037.2865121,3.485,0.51953125
1575622047.2937107,3.48625,0.53515625
1575622057.3050923,3.4875,0.55078125
1575622067.3137403,3.4875,0.55078125
1575622077.3251467,3.4875,0.5703125
1575622087.3365555,3.4875,0.5703125
1575622097.3478723,3.4875,0.5859375
1575622107.3574784,3.4875,0.5859375
1575622117.368868,3.48875,0.6015625
1575622127.3802764,3.48875,0.6015625
1575622137.391687,3.49,0.6171875
1575622147.403084,3.49,0.6171875
1575622157.4144797,3.49,0.63671875
1575622167.4258687,3.49,0.63671875
1575622177.4372628,3.49,0.65234375
1575622187.4486723,3.49,0.65234375
1575622197.4600582,3.49125,0.66796875
1575622207.4637375,3.4925,0.66796875
1575622217.47511,3.4925,0.68359375
1575622227.4863703,3.4925,0.68359375
1575622237.4976761,3.4925,0.703125
1575622247.5037334,3.4925,0.703125
1575622257.515014,3.49375,0.703125
1575622267.5237563,3.49375,0.71875
1575622277.5351858,3.49375,0.71875
1575622287.546581,3.495,0.734375
1575622297.5579855,3.495,0.734375
1575622307.5693836,3.495,0.75
1575622317.580769,3.495,0.75
1575622327.5921688,3.495,0.75
1575622337.6035511,3.49625,0.76953125
1575622347.613711,3.49625,0.76953125
1575622357.6236665,3.4975,0.78515625
1575622367.634945,3.4975,0.78515625
1575622377.646317,3.49875,0.78515625
1575622387.6576092,3.4975,0.80078125
1575622397.6690242,3.49875,0.80078125
1575622407.673751,3.49875,0.80078125
1575622417.6850898,3.49875,0.81640625
1575622427.6964655,3.5,0.81640625
1575622437.7077546,3.5,0.8359375
1575622447.7191353,3.5,0.8359375
1575622457.73042,3.5,0.8359375
1575622467.7340124,3.5,0.8515625
1575622477.745525,3.50125,0.8515625
1575622487.7537222,3.50125,0.8515625
1575622497.7651207,3.5025,0.8671875
1575622507.776534,3.5025,0.8671875
1575622517.7879214,3.5025,0.8671875
1575622527.7993238,3.5025,0.8828125
1575622537.8107061,3.505,0.8828125
1575622547.8219993,3.50375,0.8828125
1575622557.8333993,3.50375,0.90234375
1575622567.843756,3.505,0.90234375
1575622577.8537457,3.505,0.90234375
1575622587.8651273,3.505,0.91796875
1575622597.8765204,3.505,0.91796875
1575622607.8879168,3.50625,0.91796875
1575622617.8993337,3.50625,0.93359375
1575622627.9107368,3.5075,0.93359375
1575622637.9220266,3.5075,0.93359375
1575622647.9334579,3.5075,0.94921875
1575622657.9448862,3.5075,0.94921875
1575622667.9537559,3.5075,0.94921875
1575622677.965199,3.50875,0.96875
1575622687.9738965,3.50875,0.96875
1575622697.9855187,3.51,0.96875
1575622707.9968235,3.51,0.984375
1575622718.0082033,3.51,0.984375
1575622728.013679,3.51125,0.984375
1575622738.024958,3.51,1.0
1575622748.036335,3.51125,1.0
1575622758.0437255,3.51125,1.0
1575622768.055121,3.5125,1.015625
1575622778.0665393,3.5125,1.015625
1575622788.0779529,3.5125,1.015625
1575622798.0893445,3.5125,1.015625
1575622808.100741,3.5125,1.03515625
1575622818.112128,3.51375,1.03515625
1575622828.123517,3.51375,1.03515625
1575622838.1349692,3.515,1.05078125
1575622848.1463788,3.515,1.05078125
1575622858.157751,3.515,1.05078125
1575622868.1690142,3.515,1.06640625
1575622878.1803093,3.515,1.06640625
1575622888.183729,3.5175,1.06640625
1575622898.195041,3.51625,1.08203125
1575622908.2064445,3.5175,1.08203125
1575622918.217837,3.5175,1.08203125
1575622928.2292454,3.5175,1.08203125
1575622938.2337327,3.5175,1.1015625
1575622948.2451665,3.5175,1.1015625
1575622958.253723,3.51875,1.1015625
1575622968.2651308,3.52,1.1171875
1575622978.2737615,3.52,1.1171875
1575622988.2852182,3.52,1.1171875
1575622998.296621,3.52,1.1328125
1575623008.3080187,3.52125,1.1328125
1575623018.3193855,3.52125,1.1328125
1575623028.3237085,3.52125,1.1484375
1575623038.3350925,3.5225,1.1484375
1575623048.3437274,3.5225,1.1484375
1575623058.355011,3.5225,1.1484375
1575623068.3637214,3.5225,1.16796875
1575623078.3751044,3.5225,1.16796875
1575623088.3865101,3.52375,1.16796875
1575623098.3979034,3.52375,1.18359375
1575623108.409316,3.525,1.18359375
1575623118.4207144,3.525,1.18359375
1575623128.4321141,3.525,1.19921875
1575623138.4337304,3.525,1.19921875
1575623148.4451282,3.52625,1.19921875
1575623158.4536774,3.52625,1.19921875
