ts,voltage,capacity
1575995395.0299017,3.26625,0.0
1575995405.0411718,3.245,0.0
1575995415.052488,3.265,0.0
1575995425.063883,3.26875,0.0
1575995435.075261,3.2725,0.0
1575995445.080131,3.27375,0.0
1575995455.0916092,3.27375,0.0
1575995465.1030004,3.27625,0.0
1575995475.1143675,3.2725,0.0
1575995485.1256516,3.2775,0.0
1575995495.1370275,3.27625,0.0
1575995505.148464,3.2775,0.0
1575995515.1577845,3.28,0.0
1575995525.169072,3.2825,0.0
1575995535.180433,3.28375,0.0
1575995545.1917238,3.2825,0.0
1575995555.1979215,3.285,0.0
1575995565.2093303,3.2475,0.0
1575995575.2178247,3.285,0.0
1575995585.2292166,3.28375,0.0
1575995595.240621,3.2875,0.0
1575995605.25195,3.285,0.0
1575995615.2633314,3.2875,0.0
1575995625.2747345,3.29,0.0
1575995635.2861254,3.29,0.0
1575995645.2878149,3.29125,0.0
1575995655.2992084,3.2925,0.0
1575995665.3105903,3.2925,0.0
1575995675.3219736,3.29,0.0
1575995685.333361,3.29375,0.0
1575995695.344725,3.29375,0.0
1575995705.3560126,3.295,0.0
1575995715.3578293,3.29625,0.0
1575995725.3691974,3.29,0.00390625
1575995735.3804538,3.29625,0.00390625
1575995745.3917542,3.3,0.0078125
1575995755.3978634,3.29125,0.0078125
1575995765.4092312,3.29875,0.0078125
1575995775.4178197,3.3025,0.01171875
1575995785.4278321,3.3025,0.01171875
1575995795.4392276,3.3025,0.01171875
1575995805.450615,3.3025,0.015625
1575995815.4620056,3.3025,0.015625
1575995825.473421,3.3025,0.015625
1575995835.4848163,3.305,0.01953125
1575995845.4877799,3.305,0.01953125
1575995855.4990633,3.3075,0.01953125
1575995865.510456,3.30625,0.0234375
1575995875.5218618,3.3075,0.0234375
1575995885.5332413,3.2975,0.0234375
1575995895.5445328,3.3075,0.0234375
1575995905.555923,3.31,0.0234375
1575995915.5673237,3.3025,0.02734375
1575995925.5786648,3.3125,0.02734375
1575995935.5900702,3.3125,0.02734375
1575995945.601464,3.3125,0.02734375
1575995955.6078918,3.3125,0.03125
1575995965.6192963,3.31375,0.03125
1575995975.6306973,3.315,0.03125
1575995985.642075,3.3125,0.03125
1575995995.653365,3.315,0.03125
1575996005.6647575,3.31375,0.03125
1575996015.6761534,3.31625,0.03515625
1575996025.6778243,3.3175,0.03515625
1575996035.6892054,3.3175,0.03515625
1575996045.69778,3.295,0.03515625
1575996055.7090623,3.32,0.03515625
1575996065.7204695,3.31875,0.03515625
1575996075.7278504,3.3075,0.0390625
1575996085.7391527,3.32,0.0390625
1575996095.7505252,3.3175,0.0390625
1575996105.7618134,3.32,0.0390625
1575996115.773186,3.32,0.0390625
1575996125.7844746,3.3225,0.0390625
1575996135.787783,3.3225,0.0390625
1575996145.7990773,3.32,0.0390625
1575996155.8104846,3.325,0.04296875
1575996165.8178277,3.3225,0.04296875
1575996175.8292289,3.325,0.04296875
1575996185.8406131,3.3225,0.04296875
1575996195.8520124,3.32625,0.04296875
1575996205.8633754,3.3025,0.04296875
1575996215.8746665,3.3275,0.04296875
1575996225.8860788,3.3275,0.046875
1575996235.8974817,3.31875,0.046875
1575996245.9078803,3.32875,0.046875
1575996255.9193027,3.31125,0.046875
1575996265.9278386,3.33,0.046875
1575996275.9392252,3.32875,0.046875
1575996285.9506335,3.33,0.046875
1575996295.9620452,3.33,0.046875
1575996305.9734368,3.3325,0.046875
1575996315.984814,3.32875,0.05078125
1575996325.996111,3.3325,0.05078125
1575996335.9978318,3.335,0.05078125
1575996346.009206,3.3325,0.05078125
1575996356.0206087,3.33375,0.05078125
1575996366.0320015,3.3225,0.05078125
1575996376.0434031,3.33375,0.05078125
1575996386.0547996,3.335,0.05078125
1575996396.0662234,3.32375,0.05078125
1575996406.077589,3.33375,0.05078125
1575996416.0889983,3.335,0.0546875
1575996426.1003942,3.3375,0.0546875
1575996436.111788,3.34,0.0546875
1575996446.1231956,3.33875,0.0546875
1575996456.134651,3.34,0.0546875
1575996466.1460414,3.34,0.0546875
1575996476.1574395,3.34,0.0546875
1575996486.1688426,3.34,0.0546875
1575996496.1778386,3.3375,0.0546875
1575996506.1892257,3.34,0.05859375
1575996516.200617,3.34,0.05859375
1575996526.2120137,3.3275,0.05859375
1575996536.2178075,3.3425,0.05859375
1575996546.2290924,3.3425,0.05859375
1575996556.2378623,3.325,0.05859375
1575996566.2491543,3.3425,0.05859375
1575996576.2605615,3.3425,0.05859375
1575996586.271952,3.34125,0.05859375
1575996596.2833517,3.345,0.05859375
1575996606.2947476,3.345,0.05859375
1575996616.3061342,3.34375,0.0625
1575996626.317523,3.34625,0.0625
1575996636.3289387,3.3475,0.0625
1575996646.3378887,3.3475,0.0625
1575996656.3494081,3.3475,0.0625
1575996666.3608043,3.34875,0.0625
1575996676.3722036,3.345,0.0625
1575996686.377828,3.33125,0.0625
1575996696.3892226,3.3475,0.0625
1575996706.400615,3.35,0.0625
1575996716.4120305,3.3325,0.06640625
1575996726.423329,3.34625,0.06640625
1575996736.4279087,3.35,0.06640625
1575996746.4393182,3.35125,0.06640625
1575996756.4507184,3.35,0.06640625
1575996766.4578233,3.34875,0.06640625
1575996776.4692209,3.3525,0.06640625
1575996786.4806125,3.35,0.06640625
1575996796.4920053,3.3525,0.06640625
1575996806.503401,3.3525,0.06640625
1575996816.5147924,3.355,0.06640625
1575996826.517837,3.3525,0.06640625
1575996836.5292468,3.35375,0.0703125
1575996846.537832,3.35125,0.0703125
1575996856.5492365,3.355,0.0703125
1575996866.5606434,3.355,0.0703125
1575996876.5720632,3.335,0.0703125
1575996886.5833535,3.35625,0.0703125
1575996896.594723,3.3525,0.0703125
1575996906.6060126,3.3575,0.0703125
1575996916.6078267,3.355,0.0703125
1575996926.6178343,3.3575,0.0703125
1575996936.6278915,3.3575,0.0703125
1575996946.6393106,3.35875,0.0703125
1575996956.6507137,3.35875,0.0703125
1575996966.6621177,3.36,0.07421875
1575996976.67352,3.35875,0.07421875
1575996986.677825,3.3575,0.07421875
1575996996.6892176,3.36,0.07421875
1575997006.6978338,3.35625,0.07421875
1575997016.709306,3.36125,0.07421875
1575997026.717815,3.3625,0.07421875
1575997036.7278504,3.345,0.07421875
1575997046.739183,3.3625,0.07421875
1575997056.7505882,3.3625,0.07421875
1575997066.7619936,3.3625,0.07421875
1575997076.7733893,3.36375,0.07421875
1575997086.7778263,3.365,0.07421875
1575997096.7892237,3.36125,0.078125
1575997106.800624,3.365,0.078125
1575997116.812032,3.3625,0.078125
1575997126.8234265,3.365,0.078125
1575997136.827828,3.36375,0.078125
1575997146.8392355,3.3625,0.078125
1575997156.8478804,3.36625,0.078125
1575997166.8578281,3.36,0.078125
1575997176.8692412,3.36625,0.078125
1575997186.880613,3.36375,0.078125
1575997196.887848,3.34375,0.078125
1575997206.8991795,3.3625,0.078125
1575997216.9105632,3.3675,0.078125
1575997226.9219556,3.36875,0.078125
1575997236.9278343,3.3675,0.078125
1575997246.9379594,3.37,0.08203125
1575997256.9494548,3.3675,0.08203125
1575997266.9608557,3.37,0.08203125
1575997276.972251,3.3675,0.08203125
1575997286.9836414,3.37,0.08203125
1575997296.995038,3.3675,0.08203125
1575997307.0063226,3.37,0.08203125
1575997317.0176919,3.37125,0.08203125
1575997327.029043,3.365,0.08203125
1575997337.0377908,3.3725,0.08203125
1575997347.049094,3.37125,0.08203125
1575997357.0605164,3.355,0.08203125
1575997367.0718257,3.37125,0.08203125
1575997377.0832253,3.3725,0.08203125
1575997387.0946326,3.37125,0.0859375
1575997397.1060302,3.375,0.0859375
1575997407.1174204,3.375,0.0859375
1575997417.128832,3.375,0.0859375
1575997427.1378264,3.375,0.0859375
1575997437.1492107,3.375,0.0859375
1575997447.1578677,3.375,0.0859375
1575997457.1692858,3.37375,0.0859375
1575997467.1778238,3.375,0.0859375
1575997477.1892118,3.375,0.0859375
1575997487.2006073,3.37375,0.0859375
1575997497.2120092,3.375,0.0859375
1575997507.2234015,3.37625,0.0859375
1575997517.234808,3.34375,0.0859375
1575997527.2461174,3.3775,0.0859375
1575997537.247844,3.3775,0.0859375
1575997547.2592218,3.3775,0.08984375
1575997557.2609217,3.38,0.08984375
1575997567.272319,3.38,0.08984375
1575997577.2837179,3.38,0.08984375
1575997587.2951143,3.37625,0.08984375
1575997597.3064022,3.38,0.08984375
1575997607.3178194,3.3775,0.08984375
1575997617.3291147,3.38125,0.08984375
1575997627.3404908,3.38,0.08984375
1575997637.3517778,3.38,0.08984375
1575997647.3632057,3.3825,0.08984375
1575997657.374661,3.38,0.08984375
1575997667.3860397,3.3825,0.08984375
1575997677.387833,3.3625,0.08984375
1575997687.3991673,3.3825,0.08984375
1575997697.4105623,3.3825,0.09375
1575997707.4219701,3.3825,0.09375
1575997717.427824,3.38125,0.09375
1575997727.439215,3.3825,0.09375
1575997737.4479272,3.385,0.09375
1575997747.4593337,3.385,0.09375
1575997757.4725072,3.385,0.09375
1575997767.4839127,3.385,0.09375
1575997777.4953034,3.385,0.09375
1575997787.50669,3.38375,0.09375
1575997797.518088,3.385,0.09375
1575997807.5294821,3.37875,0.09375
1575997817.5408852,3.38625,0.09375
1575997827.5478222,3.3875,0.09375
1575997837.5592506,3.37125,0.09375
1575997847.5706692,3.3875,0.09375
1575997857.5820644,3.3875,0.09375
1575997867.5934625,3.3875,0.09765625
1575997877.597827,3.3875,0.09765625
1575997887.6092253,3.38875,0.09765625
1575997897.6206157,3.3875,0.09765625
1575997907.632003,3.3875,0.09765625
1575997917.637814,3.3875,0.09765625
1575997927.6492007,3.38875,0.09765625
1575997937.6578884,3.38875,0.09765625
1575997947.669324,3.3875,0.09765625
1575997957.6778362,3.385,0.09765625
1575997967.68923,3.3875,0.09765625
1575997977.7006183,3.39,0.09765625
1575997987.71202,3.3875,0.09765625
1575997997.723471,3.37625,0.09765625
1575998007.734827,3.3925,0.09765625
1575998017.7461233,3.39125,0.09765625
1575998027.747815,3.39125,0.09765625
1575998037.759189,3.3925,0.09765625
1575998047.7705908,3.3925,0.1015625
1575998057.7820022,3.39,0.1015625
1575998067.7934031,3.3925,0.1015625
1575998077.8048012,3.39375,0.1015625
1575998087.816197,3.39375,0.1015625
1575998097.8275902,3.39125,0.1015625
1575998107.839001,3.39375,0.1015625
1575998117.8478258,3.39125,0.1015625
1575998127.859207,3.395,0.1015625
1575998137.870635,3.395,0.1015625
1575998147.882143,3.395,0.1015625
1575998157.8935127,3.37375,0.1015625
1575998167.904784,3.39125,0.1015625
1575998177.9161305,3.395,0.1015625
1575998187.9275384,3.3925,0.1015625
1575998197.9389355,3.395,0.1015625
1575998207.950328,3.39375,0.1015625
1575998217.961726,3.3975,0.1015625
1575998227.9679143,3.395,0.1015625
1575998237.9793582,3.3975,0.10546875
1575998247.9907522,3.3975,0.10546875
1575998258.0021417,3.395,0.10546875
1575998268.0135317,3.3975,0.10546875
1575998278.017827,3.395,0.10546875
1575998288.0292299,3.39875,0.10546875
1575998298.0406222,3.39625,0.10546875
1575998308.0520096,3.39875,0.10546875
1575998318.0577924,3.3825,0.10546875
1575998328.0690706,3.3975,0.10546875
1575998338.08046,3.4,0.10546875
1575998348.0878897,3.39875,0.10546875
1575998358.0993538,3.39875,0.10546875
1575998368.1107416,3.4,0.10546875
1575998378.1221206,3.4,0.10546875
1575998388.133524,3.3975,0.10546875
1575998398.144906,3.4,0.10546875
1575998408.1478138,3.4,0.10546875
1575998418.1591897,3.39875,0.10546875
1575998428.1679275,3.4,0.10546875
1575998438.179317,3.39875,0.10546875
1575998448.1907065,3.4,0.10546875
1575998458.2020905,3.4,0.109375
1575998468.213472,3.4025,0.109375
1575998478.21789,3.37875,0.109375
1575998488.2292433,3.4025,0.109375
1575998498.2406363,3.4025,0.109375
1575998508.2520247,3.40125,0.109375
1575998518.2578444,3.40375,0.109375
1575998528.2692275,3.38375,0.109375
1575998538.2806282,3.4025,0.109375
1575998548.292032,3.4025,0.109375
1575998558.3034062,3.40375,0.109375
1575998568.3147764,3.4,0.109375
1575998578.3260574,3.405,0.109375
1575998588.3374395,3.4,0.109375
1575998598.3488176,3.39875,0.109375
1575998608.3602111,3.405,0.109375
1575998618.3715997,3.4025,0.109375
1575998628.3829892,3.4025,0.109375
1575998638.3943474,3.38375,0.109375
1575998648.3979084,3.40375,0.109375
1575998658.409341,3.4,0.109375
1575998668.4207716,3.4,0.109375
1575998678.4321609,3.4025,0.109375
1575998688.4435434,3.405,0.109375
1575998698.4549308,3.40125,0.109375
1575998708.4663198,3.40375,0.109375
1575998718.4776883,3.4,0.109375
1575998728.4889984,3.40375,0.109375
1575998738.4978237,3.405,0.109375
1575998748.509227,3.405,0.109375
1575998758.5206187,3.405,0.109375
1575998768.5320377,3.405,0.109375
1575998778.5434463,3.40625,0.109375
1575998788.5548542,3.4075,0.11328125
1575998798.566227,3.3925,0.11328125
1575998808.577532,3.40625,0.11328125
