ts,voltage,capacity
1583400122.4863625,3.35375,0.0
1583400132.4881158,3.35,0.0
1583400142.4994016,3.35875,0.0
1583400152.508162,3.36125,0.0
1583400162.5195222,3.36375,0.0
1583400172.5282264,3.365,0.0
1583400182.5396802,3.365,0.0078125
1583400192.5510528,3.37,0.01171875
1583400202.5624268,3.3725,0.015625
1583400212.57381,3.37375,0.01953125
1583400222.5851574,3.37125,0.02734375
1583400232.5964267,3.3775,0.03125
1583400242.6077864,3.37625,0.03515625
1583400252.6181614,3.38125,0.0390625
1583400262.628153,3.38375,0.04296875
1583400272.6395211,3.385,0.046875
1583400282.6508892,3.3875,0.046875
1583400292.6622646,3.385,0.05078125
1583400302.673652,3.39,0.0546875
1583400312.6850457,3.38875,0.05859375
1583400322.6964288,3.39375,0.0625
1583400332.707808,3.3925,0.0625
1583400342.7191856,3.3975,0.06640625
1583400352.7305884,3.3975,0.0703125
1583400362.7419658,3.39875,0.0703125
1583400372.7481961,3.40125,0.07421875
1583400382.7596588,3.4025,0.078125
1583400392.7710292,3.40375,0.078125
1583400402.7824063,3.4025,0.08203125
1583400412.7938015,3.40625,0.08203125
1583400422.8051944,3.405,0.0859375
1583400432.816583,3.40625,0.0859375
1583400442.82795,3.41,0.08984375
1583400452.8393793,3.41125,0.08984375
1583400462.8481572,3.41125,0.09375
1583400472.8595579,3.415,0.09375
1583400482.8632138,3.415,0.09765625
1583400492.8745928,3.4175,0.09765625
1583400502.885961,3.4175,0.1015625
1583400512.8973382,3.41875,0.1015625
1583400522.9087794,3.42,0.1015625
1583400532.920137,3.41875,0.10546875
1583400542.9315128,3.4225,0.10546875
1583400552.942908,3.4225,0.10546875
1583400562.9542942,3.4225,0.109375
1583400572.95821,3.425,0.109375
1583400582.9696798,3.4275,0.109375
1583400592.9810698,3.4225,0.11328125
1583400602.9924176,3.42,0.11328125
1583400612.998158,3.43,0.11328125
1583400623.0095344,3.4275,0.1171875
1583400633.0209086,3.43125,0.1171875
1583400643.0322618,3.4325,0.1171875
1583400653.0402696,3.43,0.12109375
1583400663.0515866,3.43375,0.12109375
1583400673.0722997,3.435,0.12109375
1583400683.0781612,3.435,0.12109375
1583400693.089542,3.435,0.125
1583400703.100907,3.4375,0.125
1583400713.1122699,3.435,0.125
