ts,voltage,capacity
1575562601.8319778,4.17,97.9765625
1575562611.8433266,4.14375,97.9765625
1575562621.854731,4.1425,97.9765625
1575562631.865183,4.1375,97.9765625
1575562641.8765626,4.14,97.9765625
1575562651.8879435,4.13,97.81640625
1575562661.8992345,4.1375,97.81640625
1575562671.9106379,4.1375,97.81640625
1575562681.9152377,4.13375,97.81640625
1575562691.9252875,4.13625,97.81640625
1575562701.9366817,4.135,97.81640625
1575562711.945218,4.135,97.66015625
1575562721.9566147,4.1325,97.66015625
1575562731.968016,4.13375,97.66015625
1575562741.974623,4.13375,97.66015625
1575562751.986012,4.1325,97.66015625
1575562761.9974105,4.13,97.66015625
1575562772.0088212,4.1325,97.5
1575562782.0201864,4.13,97.5
1575562792.0252101,4.13125,97.5
1575562802.0366042,4.13,97.5
1575562812.0479817,4.1275,97.5
1575562822.0593023,4.12875,97.34375
1575562832.0706956,4.1275,97.34375
1575562842.0752573,4.115,97.34375
1575562852.085199,4.12625,97.34375
1575562862.0965745,4.1275,97.34375
1575562872.1052144,4.12625,97.34375
1575562882.116606,4.12625,97.18359375
1575562892.1252925,4.125,97.18359375
1575562902.136701,4.125,97.18359375
1575562912.1480954,4.125,97.18359375
1575562922.1594958,4.1225,97.18359375
1575562932.1708848,4.12375,97.02734375
1575562942.1822724,4.1225,97.02734375
1575562952.1852164,4.1225,97.02734375
1575562962.196619,4.1225,97.02734375
1575562972.2079978,4.1175,97.02734375
1575562982.2152264,4.12,96.8671875
1575562992.2266455,4.12125,96.8671875
1575563002.23521,4.1075,96.8671875
1575563012.2465491,4.12,96.8671875
1575563022.257926,4.12,96.8671875
1575563032.2693183,4.12,96.7109375
1575563042.2807057,4.12,96.7109375
1575563052.2920933,4.1175,96.7109375
1575563062.3034818,4.11875,96.7109375
1575563072.3148744,4.1175,96.55078125
1575563082.3262737,4.11625,96.55078125
1575563092.335284,4.1175,96.55078125
1575563102.346695,4.1175,96.55078125
1575563112.3580852,4.11625,96.55078125
1575563122.3694928,4.115,96.39453125
1575563132.3809044,4.1125,96.39453125
1575563142.3922815,4.1125,96.39453125
1575563152.4035704,4.115,96.39453125
1575563162.4149437,4.1025,96.39453125
1575563172.4262195,4.11375,96.234375
1575563182.4352107,4.11375,96.234375
1575563192.4465964,4.1125,96.234375
1575563202.4579859,4.1125,96.234375
1575563212.4693778,4.1125,96.234375
1575563222.4807718,4.1125,96.078125
1575563232.4921732,4.1125,96.078125
1575563242.503579,4.11125,96.078125
1575563252.5149558,4.11,96.078125
1575563262.5263608,4.11,95.91796875
1575563272.5377548,4.11,95.91796875
1575563282.5491428,4.11,95.91796875
1575563292.5605896,4.1075,95.91796875
1575563302.5719995,4.11,95.91796875
1575563312.5833883,4.10875,95.76171875
1575563322.5852315,4.095,95.76171875
1575563332.5965242,4.1075,95.76171875
1575563342.6079338,4.10625,95.76171875
1575563352.6193337,4.1075,95.6015625
1575563362.6252098,4.1075,95.6015625
1575563372.6366181,4.1075,95.6015625
1575563382.6452508,4.1075,95.6015625
1575563392.6566808,4.10375,95.6015625
1575563402.6680713,4.10625,95.4453125
1575563412.6794684,4.10375,95.4453125
1575563422.6908612,4.105,95.4453125
1575563432.7022514,4.1025,95.4453125
1575563442.713643,4.105,95.28515625
1575563452.7250175,4.1,95.28515625
1575563462.7363546,4.10375,95.28515625
1575563472.7452114,4.1025,95.28515625
1575563482.7566135,4.09,95.28515625
1575563492.7679327,4.1025,95.12890625
1575563502.779339,4.1025,95.12890625
1575563512.7852285,4.1025,95.12890625
1575563522.7967396,4.09875,95.12890625
1575563532.808039,4.1025,94.96875
1575563542.8152015,4.1,94.96875
1575563552.8265827,4.10125,94.96875
1575563562.8379805,4.10125,94.96875
1575563572.849387,4.1,94.8125
1575563582.855261,4.1,94.8125
1575563592.866708,4.1,94.8125
1575563602.8780978,4.1,94.8125
1575563612.8894665,4.0875,94.8125
1575563622.9007661,4.09875,94.65234375
1575563632.912136,4.0975,94.65234375
1575563642.915235,4.09875,94.65234375
1575563652.9251976,4.0975,94.65234375
1575563662.9365957,4.0975,94.49609375
1575563672.9451797,4.0975,94.49609375
1575563682.9564779,4.09625,94.49609375
1575563692.9678607,4.0975,94.49609375
1575563702.9792655,4.0975,94.49609375
1575563712.9906602,4.09625,94.3359375
1575563723.002062,4.09625,94.3359375
1575563733.0134668,4.09625,94.3359375
1575563743.0248702,4.09375,94.3359375
1575563753.0362678,4.095,94.1796875
1575563763.0452025,4.095,94.1796875
1575563773.0565677,4.0825,94.1796875
1575563783.0652616,4.095,94.1796875
1575563793.0767934,4.095,94.01953125
1575563803.0852637,4.095,94.01953125
1575563813.0966911,4.0925,94.01953125
1575563823.1080863,4.09375,94.01953125
1575563833.1194775,4.0925,94.01953125
1575563843.1308708,4.0925,93.86328125
1575563853.1422665,4.0925,93.86328125
1575563863.153666,4.0925,93.86328125
1575563873.1553028,4.0925,93.86328125
1575563883.1667118,4.0925,93.703125
1575563893.1781256,4.0925,93.703125
1575563903.189529,4.09,93.703125
1575563913.200929,4.09125,93.703125
1575563923.2123082,4.08875,93.703125
1575563933.2235856,4.08,93.546875
1575563943.2348897,4.08875,93.546875
1575563953.246281,4.09,93.546875
1575563963.255215,4.08875,93.546875
1575563973.2665324,4.09,93.38671875
1575563983.2779286,4.09,93.38671875
1575563993.2893221,4.09,93.38671875
1575564003.300722,4.09,93.38671875
1575564013.3121166,4.0875,93.38671875
1575564023.3235188,4.08875,93.23046875
1575564033.3348908,4.085,93.23046875
1575564043.3461852,4.08875,93.23046875
1575564053.3551733,4.0875,93.23046875
1575564063.3664675,4.0875,93.0703125
1575564073.3778915,4.0875,93.0703125
1575564083.3893378,4.0875,93.0703125
1575564093.4007294,4.07375,93.0703125
1575564103.412016,4.085,93.0703125
1575564113.4234056,4.08625,92.9140625
1575564123.434822,4.085,92.9140625
1575564133.4461746,4.08625,92.9140625
1575564143.457596,4.08625,92.9140625
1575564153.469012,4.08625,92.75390625
1575564163.4752026,4.085,92.75390625
1575564173.4865947,4.085,92.75390625
1575564183.4979894,4.085,92.75390625
1575564193.5093913,4.0825,92.75390625
1575564203.5207992,4.085,92.59765625
1575564213.5322025,4.085,92.59765625
1575564223.5436032,4.085,92.59765625
1575564233.5549908,4.0825,92.59765625
1575564243.5663857,4.08375,92.59765625
1575564253.5751615,4.0775,92.4375
1575564263.5852423,4.08375,92.4375
1575564273.5952349,4.08375,92.4375
1575564283.6051934,4.07875,92.4375
1575564293.6164875,4.0825,92.28125
1575564303.6278882,4.0825,92.28125
1575564313.639293,4.0825,92.28125
1575564323.6506999,4.08,92.28125
1575564333.662097,4.0825,92.28125
1575564343.6652133,4.0825,92.12109375
1575564353.6766129,4.0825,92.12109375
1575564363.685218,4.08125,92.12109375
1575564373.6966128,4.0825,92.12109375
1575564383.708015,4.08125,92.12109375
1575564393.719409,4.08,91.96484375
